parent_asin,rating,title_y
B0B93M1NPJ,5,PIRISA - Miswak Sticks for Teeth - Vacummed Sewak - Muslim Traditional Toothbrush (4 Pack)
B01MYXNLTI,5,Dr. Mercola Organic White Grapefruit Essential Oil - 1 oz.
B09JSB4WZH,4,"Small Pill Box - 3 Compartment Travel Pill Box for Purse, Victorian Pattern Pill Container for Purse, Small Pill Case for Vitamins, Fish Oils, Capsules (Silver)"
B09YRZMWMW,4,"Grounding Half Sheet 10% Silver with Grounding Cord, Grounding Sheet Native Cotton for Better Sleep Healthy (36 x 91 Inch)"
B091BB58S9,5,4 Pack Mop Head Replacement Microfiber Spin Mop Refill 360° Easy Cleaning Mop Replacement Heads Mop Refills (White)
B095L4QG85,5,"Solgar Apple Cider Vinegar 1000 mg Gummies Great-Tasting Raspberry Pomegranate Flavor, Plus Vitamin B12, Supports Energy Metabolism, Non-GMO & Vegan, 90 Count"
B091BZ7KYN,2,4 Pack Mop Head Replacement Microfiber Spin Mop Refill 360° Easy Cleaning Mop Replacement Heads Mop Refills (Blue & White)
B0BN68VXP4,5,"RHINO RESCUE Medical Tourniquets One-Handed, Emergency Hemorrhage First Aid Kit, Combat Outdoor Control Life Saving EMT Mil-Spec Tactical with Windlass 4pcs Coyote"
B0BRRPX97X,4,"Grounding Mat for Improving Sleep, Grounding Pad for Health, Grounding Bed Mat with Grounding Cord for Better Working (13 * 23.6inch)"
B09B5CXQ75,4,"Sandalwood Essential Oil, MAYJAM Premium Pure Essential Oils, 3.38FL.OZ Sandalwood Oil for Diffusers Soap Candle Making, Ideal for Home Office Car Yoga Use"
B09B4VH3Y5,4,"Microbubble Water Cycle Blackhead Remover Pore Vacuum, Upgraded Electric Pore Cleaner Tool with 3 Adjustable Suction Power and 6 Suction Probes, Portable Facial Kit, Can Add Various Care Liquids"
B096GB8F5P,5,"10PCS Disposable Exfoliating Body Scrub Gloves, Dual Texture with Bubble Body Wash, Moisturizing Bath Clean Sponge for Travel Shower Home SPA Skin Massage, YUHFERA Mitt for Women Man Business Trip"
